,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
40,SVC,Extraversion,keep median,pearson,solver,mean_strl,5.221,roc_auc_ovr_weighted,21,182,100.0,0,50.0,53.39,0.0,30.39,50.0,43.548,0.0,51.323
41,SVC,Neuroticism,keep median,pearson,solver,mean_FA,5.192,roc_auc_ovr_weighted,21,181,100.0,0,100.0,100.0,100.0,100.0,45.141,45.161,46.875,39.707
42,SVC,Extraversion,keep median,pearson,solver,mean_FA,5.077,roc_auc_ovr_weighted,21,177,100.0,0,50.0,53.39,0.0,39.567,50.0,43.548,0.0,49.894
43,SVC,Neuroticism,keep median,pearson,solver,mean_strl,5.02,roc_auc_ovr_weighted,22,175,100.0,0,62.037,65.254,38.806,1.389,49.582,46.774,10.811,41.484
44,SVC,Neuroticism,keep median,pearson,solver,mean_FA,4.963,roc_auc_ovr_weighted,20,173,100.0,0,100.0,100.0,100.0,0.0,39.289,38.71,34.483,63.95
45,SVC,Extraversion,keep median,pearson,solver,mean_strl,4.733,roc_auc_ovr_weighted,20,165,100.0,0,50.0,53.39,0.0,30.938,50.0,43.548,0.0,52.487
46,SVC,Extraversion,keep median,pearson,solver,num_streamlines,4.705,roc_auc_ovr_weighted,20,164,100.0,0,50.0,53.39,0.0,0.837,50.0,43.548,0.0,45.503
47,SVC,Extraversion,keep median,pearson,solver,mean_FA,4.618,roc_auc_ovr_weighted,20,161,100.0,0,50.0,53.39,0.0,41.501,50.0,43.548,0.0,47.831
48,SVC,Neuroticism,keep median,pearson,solver,mean_strl,4.561,roc_auc_ovr_weighted,21,159,100.0,0,56.829,56.78,54.867,57.595,57.001,56.452,54.237,59.875
49,SVC,Neuroticism,keep median,pearson,solver,mean_FA,4.475,roc_auc_ovr_weighted,19,156,100.0,0,100.0,100.0,100.0,0.0,40.178,40.323,43.077,64.786
