,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
74,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,4.51,balanced_accuracy,20,161,100.0,0.001,98.98,99.16,98.969,98.163,42.759,46.939,23.529,46.034
75,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,4.454,balanced_accuracy,25,159,100.0,0.01,62.865,62.727,62.385,58.82,37.857,38.776,25.0,41.837
76,SVC,Neuroticism,test throw median,pearson,solver,num_streamlines,4.398,balanced_accuracy,25,157,100.0,0.01,95.023,94.915,94.545,98.38,45.569,44.898,40.0,45.569
77,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,4.37,balanced_accuracy,25,156,100.0,0.01,100.0,100.0,100.0,0.0,52.143,53.061,37.838,49.796
78,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,4.342,balanced_accuracy,25,155,100.0,0.01,90.51,89.916,88.462,4.023,50.086,51.02,42.857,41.379
79,SVC,Extraversion,test throw median,pearson,solver,mean_FA,4.314,balanced_accuracy,25,154,100.0,0.01,60.837,61.017,58.182,64.791,43.0,42.553,40.0,46.545
80,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,4.258,balanced_accuracy,20,152,100.0,0.001,86.074,86.364,84.848,92.341,51.429,55.102,35.294,49.796
81,SVC,Extraversion,test throw median,pearson,solver,mean_strl,4.23,balanced_accuracy,25,151,100.0,0.01,100.0,100.0,100.0,100.0,51.545,51.064,48.889,53.182
82,SVC,Conscientiousness,test throw median,pearson,solver,mean_strl,4.174,balanced_accuracy,25,149,100.0,0.01,83.687,83.636,83.019,84.98,55.0,57.143,40.0,56.939
83,SVC,Extraversion,test throw median,pearson,solver,num_streamlines,4.146,balanced_accuracy,20,148,100.0,0.005,61.631,61.864,58.716,55.007,40.182,40.426,44.0,43.545
84,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,4.118,balanced_accuracy,25,147,100.0,0.01,100.0,100.0,100.0,100.0,44.31,46.939,31.579,42.069
85,SVC,Openness,test throw median,pearson,solver,num_streamlines,4.09,balanced_accuracy,25,146,100.0,0.01,69.258,68.75,67.89,59.677,54.27,54.902,59.649,50.0
86,SVC,Agreeableness,test throw median,pearson,solver,mean_strl,4.062,balanced_accuracy,20,145,100.0,0.005,94.184,94.958,93.617,98.513,60.259,61.224,53.659,54.655
87,SVC,Conscientiousness,test throw median,pearson,solver,num_streamlines,4.034,balanced_accuracy,20,144,100.0,0.005,60.842,60.909,59.048,54.675,42.143,44.898,27.027,36.939
88,SVC,Extraversion,test throw median,pearson,solver,mean_strl,4.006,balanced_accuracy,20,143,100.0,0.005,64.805,65.254,60.952,65.657,40.727,40.426,39.13,43.091
89,SVC,Neuroticism,test throw median,pearson,solver,num_streamlines,3.754,balanced_accuracy,20,134,100.0,0.006,70.052,70.339,67.29,63.368,53.763,53.061,48.889,54.181
90,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,3.922,balanced_accuracy,20,140,100.0,0.005,58.265,63.866,37.681,36.064,50.603,57.143,22.222,46.207
91,SVC,Agreeableness,test throw median,pearson,solver,mean_FA,3.725,balanced_accuracy,20,133,100.0,0.006,83.673,84.034,80.808,84.344,44.138,44.898,37.209,43.103
92,SVC,Neuroticism,test throw median,pearson,solver,mean_strl,3.838,balanced_accuracy,20,137,100.0,0.006,59.115,58.475,59.504,65.046,53.01,53.061,54.902,57.692
93,SVC,Openness,test throw median,pearson,solver,mean_FA,3.922,balanced_accuracy,20,140,100.0,0.006,62.29,63.393,55.914,65.871,48.292,47.059,42.553,46.429
94,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,3.782,balanced_accuracy,20,135,100.0,0.005,86.174,86.364,85.149,89.456,47.857,53.061,30.303,54.49
95,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,3.754,balanced_accuracy,20,134,100.0,0.005,60.966,60.169,61.789,65.205,52.759,53.061,56.604,58.027
96,SVC,Neuroticism,test throw median,pearson,solver,mean_FA,3.838,balanced_accuracy,20,137,100.0,0.006,59.115,58.475,59.504,34.954,53.01,53.061,54.902,42.057
97,SVC,Openness,test throw median,pearson,solver,mean_strl,3.922,balanced_accuracy,20,140,100.0,0.006,62.29,63.393,55.914,65.887,48.292,47.059,42.553,46.584
98,SVC,Extraversion,test throw median,pearson,solver,mean_FA,3.613,balanced_accuracy,20,129,100.0,0.005,66.97,66.949,65.487,68.254,42.727,42.553,42.553,42.545
99,SVC,Conscientiousness,test throw median,pearson,solver,mean_FA,3.585,balanced_accuracy,20,128,100.0,0.006,87.135,87.273,86.275,89.755,53.571,55.102,38.889,54.898
100,SVC,Extraversion,test throw median,pearson,solver,mean_FA,3.557,balanced_accuracy,20,127,100.0,0.006,68.788,68.644,67.826,68.499,45.0,44.681,43.478,43.818
101,SVC,Agreeableness,test throw median,pearson,solver,num_streamlines,3.361,balanced_accuracy,20,120,100.0,0.006,81.122,80.672,78.095,91.837,42.586,44.898,30.769,42.931
