,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_features,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted,Self_loops,ROI_strl_thresh
58,SVC,Conscientiousness,test throw median,pearson,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,51.19,48.571,50.0,60.884,False,0
59,SVC,Conscientiousness,test throw median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,82.456,82.5,81.579,22.744,59.524,60.0,53.333,36.395,False,0
60,SVC,Neuroticism,test throw median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,97.297,97.531,97.222,99.939,46.255,44.444,41.86,38.866,False,0
61,SVC,Neuroticism,test throw median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,47.976,48.889,54.902,42.713,False,0
62,SVC,Neuroticism,test throw median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,51.113,53.333,61.818,48.785,False,0
63,SVC,Neuroticism,test throw median,pearson,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,49.393,48.889,51.064,51.822,False,0
64,SVC,Neuroticism,test throw median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,62.408,61.728,62.651,63.698,51.316,51.111,54.167,44.534,False,0
65,SVC,Extraversion,test throw median,pearson,baseline,mean_FA,2,balanced_accuracy,70,85.317,85.897,83.582,92.923,62.427,62.162,58.824,59.503,False,0
66,SVC,Extraversion,test throw median,pearson,baseline,mean_FA,5,balanced_accuracy,175,90.675,91.026,89.855,92.857,51.462,51.351,50.0,53.509,False,0
67,SVC,Extraversion,test throw median,pearson,baseline,mean_FA,10,balanced_accuracy,350,89.286,89.744,88.235,91.601,43.421,43.243,40.0,50.292,False,0
68,SVC,Extraversion,test throw median,pearson,baseline,mean_FA,50,balanced_accuracy,1791,100.0,100.0,100.0,0.0,52.632,51.351,10.0,65.205,False,0
69,SVC,Extraversion,test throw median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,56.151,56.41,52.778,48.545,53.947,54.054,56.41,44.152,False,0
70,SVC,Agreeableness,test throw median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,91.174,91.781,90.323,98.788,44.156,43.59,52.174,43.506,False,0
71,SVC,Agreeableness,test throw median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,98.75,98.63,98.507,100.0,34.903,46.154,61.818,36.364,False,0
72,SVC,Agreeableness,test throw median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,46.591,58.974,72.414,39.61,False,0
73,SVC,Agreeableness,test throw median,pearson,baseline,num_streamlines,50,balanced_accuracy,1744,100.0,100.0,100.0,100.0,42.208,48.718,61.538,40.26,False,0
74,SVC,Agreeableness,test throw median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,90.455,90.411,89.552,16.515,41.234,51.282,65.455,58.117,False,0
75,SVC,Openness,keep median,pearson,baseline,mean_FA,2,balanced_accuracy,70,92.535,92.405,92.105,97.104,39.074,40.426,48.148,32.407,False,0
76,SVC,Openness,keep median,pearson,baseline,mean_FA,5,balanced_accuracy,175,89.994,89.873,89.474,95.238,45.926,46.809,52.83,38.704,False,0
77,SVC,Openness,keep median,pearson,baseline,mean_FA,10,balanced_accuracy,349,83.559,83.544,82.667,88.964,42.222,42.553,47.059,39.63,False,0
78,SVC,Openness,keep median,pearson,baseline,mean_FA,50,balanced_accuracy,1743,100.0,100.0,100.0,0.0,50.0,57.447,72.973,43.519,False,0
79,SVC,Openness,keep median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,62.902,63.291,59.155,58.945,59.074,57.447,56.522,54.352,False,0
80,SVC,Extraversion,keep median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,91.865,92.308,91.176,98.214,47.894,48.936,55.556,54.396,False,0
81,SVC,Extraversion,keep median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,97.222,97.436,97.143,99.934,51.74,53.191,60.714,51.465,False,0
82,SVC,Extraversion,keep median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,58.974,61.702,70.968,51.648,False,0
83,SVC,Extraversion,keep median,pearson,baseline,num_streamlines,50,balanced_accuracy,1781,100.0,100.0,100.0,100.0,61.264,61.702,65.385,63.462,False,0
84,SVC,Extraversion,keep median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,100.0,100.0,100.0,0.0,51.923,46.809,7.407,48.352,False,0
85,SVC,Extraversion,keep median,pearson,baseline,mean_strl,2,balanced_accuracy,70,85.317,85.897,83.582,92.923,55.952,55.319,55.319,58.059,False,0
86,SVC,Extraversion,keep median,pearson,baseline,mean_strl,5,balanced_accuracy,175,90.675,91.026,89.855,92.857,53.114,53.191,56.0,55.311,False,0
87,SVC,Extraversion,keep median,pearson,baseline,mean_strl,10,balanced_accuracy,350,89.286,89.744,88.235,91.601,62.179,61.702,62.5,55.678,False,0
88,SVC,Extraversion,keep median,pearson,baseline,mean_strl,50,balanced_accuracy,1791,100.0,100.0,100.0,0.0,47.619,42.553,0.0,50.0,False,0
89,SVC,Extraversion,keep median,pearson,baseline,mean_strl,100,balanced_accuracy,3486,56.151,56.41,52.778,48.545,48.352,48.936,53.846,52.93,False,0
90,SVC,Agreeableness,keep median,pearson,baseline,mean_FA,2,balanced_accuracy,70,88.939,89.041,87.879,94.621,58.71,57.447,65.517,60.86,False,0
91,SVC,Agreeableness,keep median,pearson,baseline,mean_FA,5,balanced_accuracy,175,90.455,90.411,89.552,95.038,53.394,53.191,62.069,58.371,False,0
92,SVC,Agreeableness,keep median,pearson,baseline,mean_FA,10,balanced_accuracy,349,91.97,91.781,91.176,95.985,49.548,51.064,61.017,55.882,False,0
93,SVC,Agreeableness,keep median,pearson,baseline,mean_FA,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,52.941,31.915,11.111,47.285,False,0
94,SVC,Agreeableness,keep median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,100.0,100.0,100.0,0.0,52.036,34.043,20.513,57.919,False,0
95,SVC,Conscientiousness,keep median,pearson,baseline,mean_strl,2,balanced_accuracy,70,96.303,96.25,96.104,99.624,63.768,63.83,62.222,69.203,False,0
96,SVC,Conscientiousness,keep median,pearson,baseline,mean_strl,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,59.692,59.574,61.224,67.21,False,0
97,SVC,Conscientiousness,keep median,pearson,baseline,mean_strl,10,balanced_accuracy,349,80.764,81.25,78.261,93.609,57.428,57.447,56.522,72.283,False,0
98,SVC,Conscientiousness,keep median,pearson,baseline,mean_strl,50,balanced_accuracy,1743,59.085,58.75,60.241,41.165,61.775,61.702,62.5,32.065,False,0
99,SVC,Conscientiousness,keep median,pearson,baseline,mean_strl,100,balanced_accuracy,3486,46.053,46.25,42.667,47.744,49.004,48.936,50.0,48.641,False,0
100,SVC,Neuroticism,keep median,pearson,baseline,mean_FA,2,balanced_accuracy,70,93.673,93.827,93.151,98.71,51.574,51.064,53.061,51.852,False,0
101,SVC,Neuroticism,keep median,pearson,baseline,mean_FA,5,balanced_accuracy,175,85.289,85.185,84.211,95.485,60.926,59.574,59.574,60.0,False,0
102,SVC,Neuroticism,keep median,pearson,baseline,mean_FA,10,balanced_accuracy,349,80.098,80.247,78.378,91.093,60.926,59.574,59.574,61.852,False,0
103,SVC,Neuroticism,keep median,pearson,baseline,mean_FA,50,balanced_accuracy,1743,71.929,71.605,70.886,18.366,63.981,63.83,66.667,35.741,False,0
104,SVC,Neuroticism,keep median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,98.864,98.765,98.667,0.0,48.611,44.681,31.579,55.37,False,0
105,SVC,Openness,keep median,pearson,baseline,mean_strl,2,balanced_accuracy,70,92.535,92.405,92.105,97.104,39.074,40.426,48.148,32.407,False,0
106,SVC,Openness,keep median,pearson,baseline,mean_strl,5,balanced_accuracy,175,89.994,89.873,89.474,95.335,45.926,46.809,52.83,39.167,False,0
107,SVC,Openness,keep median,pearson,baseline,mean_strl,10,balanced_accuracy,349,83.559,83.544,82.667,88.932,42.222,42.553,47.059,39.63,False,0
108,SVC,Openness,keep median,pearson,baseline,mean_strl,50,balanced_accuracy,1743,100.0,100.0,100.0,0.0,50.0,57.447,72.973,43.519,False,0
109,SVC,Openness,keep median,pearson,baseline,mean_strl,100,balanced_accuracy,3486,62.902,63.291,59.155,58.816,59.074,57.447,56.522,54.444,False,0
110,SVC,Openness,keep median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,91.023,91.139,90.411,96.075,44.722,44.681,48.0,50.37,False,0
111,SVC,Openness,keep median,pearson,baseline,num_streamlines,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,50.185,53.191,63.333,58.148,False,0
112,SVC,Openness,keep median,pearson,baseline,num_streamlines,10,balanced_accuracy,349,100.0,100.0,100.0,100.0,51.389,55.319,66.667,57.222,False,0
113,SVC,Openness,keep median,pearson,baseline,num_streamlines,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,42.778,44.681,53.571,52.222,False,0
114,SVC,Openness,keep median,pearson,baseline,num_streamlines,100,balanced_accuracy,3486,51.351,54.43,5.263,0.0,50.0,42.553,0.0,53.148,False,0
115,SVC,Neuroticism,keep median,pearson,baseline,mean_strl,2,balanced_accuracy,70,93.673,93.827,93.151,98.71,51.574,51.064,53.061,51.852,False,0
116,SVC,Neuroticism,keep median,pearson,baseline,mean_strl,5,balanced_accuracy,175,85.289,85.185,84.211,95.485,60.926,59.574,59.574,60.0,False,0
117,SVC,Neuroticism,keep median,pearson,baseline,mean_strl,10,balanced_accuracy,349,80.098,80.247,78.378,91.093,60.926,59.574,59.574,61.852,False,0
118,SVC,Neuroticism,keep median,pearson,baseline,mean_strl,50,balanced_accuracy,1743,71.929,71.605,70.886,18.428,63.981,63.83,66.667,35.741,False,0
119,SVC,Neuroticism,keep median,pearson,baseline,mean_strl,100,balanced_accuracy,3486,98.864,98.765,98.667,100.0,48.611,44.681,31.579,44.63,False,0
120,SVC,Agreeableness,keep median,pearson,baseline,mean_strl,2,balanced_accuracy,70,88.939,89.041,87.879,94.621,58.71,57.447,65.517,60.86,False,0
121,SVC,Agreeableness,keep median,pearson,baseline,mean_strl,5,balanced_accuracy,175,90.455,90.411,89.552,95.0,53.394,53.191,62.069,58.371,False,0
122,SVC,Agreeableness,keep median,pearson,baseline,mean_strl,10,balanced_accuracy,349,91.97,91.781,91.176,95.985,49.548,51.064,61.017,55.882,False,0
123,SVC,Agreeableness,keep median,pearson,baseline,mean_strl,50,balanced_accuracy,1743,100.0,100.0,100.0,100.0,52.941,31.915,11.111,47.285,False,0
124,SVC,Agreeableness,keep median,pearson,baseline,mean_strl,100,balanced_accuracy,3486,100.0,100.0,100.0,100.0,52.036,34.043,20.513,42.081,False,0
125,SVC,Conscientiousness,keep median,pearson,baseline,mean_FA,2,balanced_accuracy,70,96.303,96.25,96.104,99.624,63.768,63.83,62.222,69.203,False,0
126,SVC,Conscientiousness,keep median,pearson,baseline,mean_FA,5,balanced_accuracy,175,100.0,100.0,100.0,100.0,59.692,59.574,61.224,67.21,False,0
127,SVC,Conscientiousness,keep median,pearson,baseline,mean_FA,10,balanced_accuracy,349,80.764,81.25,78.261,93.609,57.428,57.447,56.522,72.283,False,0
128,SVC,Conscientiousness,keep median,pearson,baseline,mean_FA,50,balanced_accuracy,1743,59.085,58.75,60.241,58.929,61.775,61.702,62.5,67.029,False,0
129,SVC,Conscientiousness,keep median,pearson,baseline,mean_FA,100,balanced_accuracy,3486,46.053,46.25,42.667,47.682,49.004,48.936,50.0,48.641,False,0
130,SVC,Conscientiousness,keep median,pearson,baseline,num_streamlines,2,balanced_accuracy,70,94.862,95.0,94.595,99.373,59.783,59.574,62.745,62.319,False,0
