,Unnamed: 0,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num edges,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
62,62,MLP,Gender,random,t_test,solver,mean_strl,5.0489999999999995,balanced_accuracy,176,79.404,81.56,85.39299999999999,88.72,58.928999999999995,58.065,59.375,68.803
63,63,MLP,Gender,random,fscores,solver,mean_strl,5.0489999999999995,balanced_accuracy,176,88.887,89.36200000000001,91.01799999999999,95.887,70.063,70.968,65.385,77.311
64,64,MLP,Gender,random,t_test,solver,num_streamlines,4.188,balanced_accuracy,146,100.0,100.0,100.0,100.0,78.992,79.032,77.193,88.866
65,65,MLP,Gender,random,fscores,solver,num_streamlines,3.93,balanced_accuracy,137,93.54,93.617,94.545,97.57,77.836,77.419,76.667,86.66
66,66,MLP,Gender,random,t_test,solver,mean_FA,2.926,balanced_accuracy,102,85.096,85.816,88.095,90.715,68.592,69.355,64.15100000000001,79.41199999999999
67,67,MLP,Gender,random,fscores,solver,mean_strl,2.926,balanced_accuracy,102,80.442,81.56,84.706,90.67299999999999,56.196999999999996,56.452,52.632,70.273
68,68,MLP,Gender,random,t_test,solver,num_streamlines,2.467,balanced_accuracy,86,85.179,86.525,89.01700000000001,94.786,73.42399999999999,72.581,73.016,82.773
69,69,MLP,Gender,random,fscores,solver,num_streamlines,2.352,balanced_accuracy,82,90.09100000000001,90.78,92.30799999999999,97.175,74.58,74.194,73.333,86.029
70,70,MLP,Gender,random,t_test,solver,mean_FA,1.291,balanced_accuracy,45,81.305,82.27,85.20700000000001,89.427,67.437,67.742,64.286,77.73100000000001
71,71,MLP,Gender,random,fscores,solver,mean_FA,1.262,balanced_accuracy,44,80.52600000000001,82.27,85.714,88.035,62.71,62.903,59.648999999999994,73.00399999999999
72,72,MLP,Gender,random,t_test,solver,num_streamlines,1.205,balanced_accuracy,42,87.162,87.943,89.941,93.81,71.954,70.968,71.875,85.189
73,73,MLP,Gender,random,fscores,solver,num_streamlines,1.147,balanced_accuracy,40,100.0,100.0,100.0,100.0,76.05,75.806,74.57600000000001,86.23899999999999
