,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
71,SVC,Neuroticism,test throw median,mean_strl,baseline,t_test,5,balanced_accuracy,69.907,70.339,66.667,69.965,49.415,48.98,46.809,54.599
72,SVC,Neuroticism,test throw median,mean_strl,baseline,t_test,10,balanced_accuracy,69.907,70.339,66.667,69.936,49.415,48.98,46.809,54.515
73,SVC,Neuroticism,test throw median,mean_strl,baseline,t_test,50,balanced_accuracy,69.907,70.339,66.667,69.951,49.415,48.98,46.809,54.515
74,SVC,Neuroticism,test throw median,mean_strl,baseline,t_test,100,balanced_accuracy,69.907,70.339,66.667,30.02,49.415,48.98,46.809,45.401
75,SVC,Neuroticism,test throw median,num_streamlines,baseline,pearson,2,balanced_accuracy,90.885,91.525,90.0,99.392,51.087,51.02,52.0,46.154
76,SVC,Neuroticism,test throw median,num_streamlines,baseline,pearson,5,balanced_accuracy,66.551,67.797,59.574,75.318,48.495,46.939,31.579,55.853
77,SVC,Neuroticism,test throw median,num_streamlines,baseline,pearson,10,balanced_accuracy,60.185,63.559,33.846,63.874,45.652,42.857,0.0,43.98
78,SVC,Neuroticism,test throw median,num_streamlines,baseline,pearson,50,balanced_accuracy,60.185,63.559,33.846,63.874,45.652,42.857,0.0,43.98
79,SVC,Neuroticism,test throw median,num_streamlines,baseline,pearson,100,balanced_accuracy,60.185,63.559,33.846,63.874,45.652,42.857,0.0,43.98
80,SVC,Neuroticism,test throw median,mean_FA,baseline,t_test,2,balanced_accuracy,69.907,70.339,66.667,69.936,49.415,48.98,46.809,54.431
81,SVC,Neuroticism,test throw median,mean_FA,baseline,t_test,5,balanced_accuracy,69.907,70.339,66.667,69.936,49.415,48.98,46.809,54.515
82,SVC,Neuroticism,test throw median,mean_FA,baseline,t_test,10,balanced_accuracy,69.907,70.339,66.667,30.064,49.415,48.98,46.809,45.485
83,SVC,Neuroticism,test throw median,mean_FA,baseline,t_test,50,balanced_accuracy,69.907,70.339,66.667,69.936,49.415,48.98,46.809,54.515
84,SVC,Neuroticism,test throw median,mean_FA,baseline,t_test,100,balanced_accuracy,69.907,70.339,66.667,69.951,49.415,48.98,46.809,54.515
85,SVC,Neuroticism,test throw median,mean_FA,baseline,pearson,2,balanced_accuracy,91.753,91.525,91.071,98.061,49.415,48.98,46.809,51.505
86,SVC,Neuroticism,test throw median,mean_FA,baseline,pearson,5,balanced_accuracy,73.872,75.424,67.416,75.752,52.843,51.02,33.333,50.334
87,SVC,Neuroticism,test throw median,mean_FA,baseline,pearson,10,balanced_accuracy,60.619,63.559,39.437,60.619,45.151,42.857,12.5,45.652
88,SVC,Neuroticism,test throw median,mean_FA,baseline,pearson,50,balanced_accuracy,60.619,63.559,39.437,60.619,45.151,42.857,12.5,45.652
89,SVC,Neuroticism,test throw median,mean_FA,baseline,pearson,100,balanced_accuracy,60.619,63.559,39.437,60.619,45.151,42.857,12.5,45.652
90,SVC,Neuroticism,test throw median,mean_strl,baseline,pearson,2,balanced_accuracy,91.753,91.525,91.071,98.047,49.415,48.98,46.809,51.505
91,SVC,Neuroticism,test throw median,mean_strl,baseline,pearson,5,balanced_accuracy,73.872,75.424,67.416,75.738,52.843,51.02,33.333,50.334
92,SVC,Neuroticism,test throw median,mean_strl,baseline,pearson,10,balanced_accuracy,60.619,63.559,39.437,60.619,45.151,42.857,12.5,45.652
93,SVC,Neuroticism,test throw median,mean_strl,baseline,pearson,50,balanced_accuracy,60.619,63.559,39.437,39.381,45.151,42.857,12.5,54.348
94,SVC,Neuroticism,test throw median,mean_strl,baseline,pearson,100,balanced_accuracy,60.619,63.559,39.437,60.619,45.151,42.857,12.5,45.652
95,SVC,Neuroticism,test throw median,num_streamlines,baseline,t_test,2,balanced_accuracy,73.466,73.729,71.028,62.384,54.515,53.061,41.026,47.492
96,SVC,Neuroticism,test throw median,num_streamlines,baseline,t_test,5,balanced_accuracy,73.466,73.729,71.028,37.616,54.515,53.061,41.026,52.508
97,SVC,Neuroticism,test throw median,num_streamlines,baseline,t_test,10,balanced_accuracy,73.466,73.729,71.028,62.413,54.515,53.061,41.026,47.492
98,SVC,Neuroticism,test throw median,num_streamlines,baseline,t_test,50,balanced_accuracy,73.466,73.729,71.028,37.659,54.515,53.061,41.026,52.508
99,SVC,Neuroticism,test throw median,num_streamlines,baseline,t_test,100,balanced_accuracy,73.466,73.729,71.028,62.384,54.515,53.061,41.026,47.492
100,SVC,Openness,test throw median,mean_strl,baseline,t_test,2,balanced_accuracy,60.065,60.714,55.102,56.71,51.475,50.98,50.98,51.708
101,SVC,Openness,test throw median,mean_strl,baseline,t_test,5,balanced_accuracy,60.065,60.714,55.102,56.839,51.475,50.98,50.98,51.398
102,SVC,Openness,test throw median,mean_strl,baseline,t_test,10,balanced_accuracy,60.065,60.714,55.102,56.71,51.475,50.98,50.98,51.708
103,SVC,Openness,test throw median,mean_strl,baseline,t_test,50,balanced_accuracy,60.065,60.714,55.102,56.935,51.475,50.98,50.98,51.708
104,SVC,Openness,test throw median,mean_strl,baseline,t_test,100,balanced_accuracy,60.065,60.714,55.102,56.71,51.475,50.98,50.98,51.63
105,SVC,Openness,test throw median,mean_strl,baseline,pearson,2,balanced_accuracy,82.194,83.929,78.571,94.645,42.158,41.176,37.5,47.05
106,SVC,Openness,test throw median,mean_strl,baseline,pearson,5,balanced_accuracy,69.935,71.429,63.636,75.952,53.261,52.941,53.846,50.621
107,SVC,Openness,test throw median,mean_strl,baseline,pearson,10,balanced_accuracy,63.516,65.179,55.172,63.839,54.037,52.941,50.0,55.59
108,SVC,Openness,test throw median,mean_strl,baseline,pearson,50,balanced_accuracy,63.516,65.179,55.172,63.839,54.037,52.941,50.0,55.59
109,SVC,Openness,test throw median,mean_strl,baseline,pearson,100,balanced_accuracy,63.516,65.179,55.172,63.839,54.037,52.941,50.0,55.59
110,SVC,Openness,test throw median,num_streamlines,baseline,pearson,2,balanced_accuracy,97.0,97.321,96.907,98.032,65.14,64.706,65.385,71.273
111,SVC,Openness,test throw median,num_streamlines,baseline,pearson,5,balanced_accuracy,67.968,70.536,57.143,75.032,55.435,54.902,54.902,61.025
112,SVC,Openness,test throw median,num_streamlines,baseline,pearson,10,balanced_accuracy,59.355,62.5,41.667,61.597,55.202,52.941,42.857,54.891
113,SVC,Openness,test throw median,num_streamlines,baseline,pearson,50,balanced_accuracy,59.355,62.5,41.667,61.629,55.202,52.941,42.857,54.969
114,SVC,Openness,test throw median,num_streamlines,baseline,pearson,100,balanced_accuracy,59.355,62.5,41.667,61.597,55.202,52.941,42.857,54.969
115,SVC,Openness,test throw median,mean_FA,baseline,pearson,2,balanced_accuracy,82.194,83.929,78.571,94.645,42.158,41.176,37.5,47.127
116,SVC,Openness,test throw median,mean_FA,baseline,pearson,5,balanced_accuracy,69.935,71.429,63.636,75.952,53.261,52.941,53.846,50.621
117,SVC,Openness,test throw median,mean_FA,baseline,pearson,10,balanced_accuracy,63.516,65.179,55.172,63.839,54.037,52.941,50.0,55.59
118,SVC,Openness,test throw median,mean_FA,baseline,pearson,50,balanced_accuracy,63.516,65.179,55.172,63.839,54.037,52.941,50.0,55.435
119,SVC,Openness,test throw median,mean_FA,baseline,pearson,100,balanced_accuracy,63.516,65.179,55.172,63.839,54.037,52.941,50.0,55.59
120,SVC,Openness,test throw median,mean_FA,baseline,t_test,2,balanced_accuracy,60.065,60.714,55.102,56.677,51.475,50.98,50.98,51.63
121,SVC,Openness,test throw median,mean_FA,baseline,t_test,5,balanced_accuracy,60.065,60.714,55.102,56.71,51.475,50.98,50.98,51.708
122,SVC,Openness,test throw median,mean_FA,baseline,t_test,10,balanced_accuracy,60.065,60.714,55.102,56.71,51.475,50.98,50.98,51.708
123,SVC,Openness,test throw median,mean_FA,baseline,t_test,50,balanced_accuracy,60.065,60.714,55.102,56.71,51.475,50.98,50.98,51.708
124,SVC,Openness,test throw median,mean_FA,baseline,t_test,100,balanced_accuracy,60.065,60.714,55.102,56.774,51.475,50.98,50.98,51.941
125,SVC,Agreeableness,test throw median,num_streamlines,baseline,pearson,2,accuracy,92.857,94.118,92.308,99.213,49.483,53.061,34.286,44.828
126,SVC,Agreeableness,test throw median,num_streamlines,baseline,pearson,5,accuracy,75.0,78.151,68.293,81.545,38.707,44.898,6.897,45.086
127,SVC,Agreeableness,test throw median,num_streamlines,baseline,pearson,10,accuracy,61.224,65.546,46.753,66.006,49.828,57.143,16.0,58.879
128,SVC,Agreeableness,test throw median,num_streamlines,baseline,pearson,50,accuracy,61.224,65.546,46.753,66.006,49.828,57.143,16.0,58.879
129,SVC,Agreeableness,test throw median,num_streamlines,baseline,pearson,100,accuracy,61.224,65.546,46.753,66.006,49.828,57.143,16.0,58.879
130,SVC,Agreeableness,test throw median,num_streamlines,baseline,t_test,2,accuracy,100.0,100.0,100.0,100.0,50.259,53.061,37.838,55.345
131,SVC,Agreeableness,test throw median,num_streamlines,baseline,t_test,5,accuracy,100.0,100.0,100.0,100.0,50.259,53.061,37.838,55.345
132,SVC,Agreeableness,test throw median,num_streamlines,baseline,t_test,10,accuracy,100.0,100.0,100.0,100.0,50.259,53.061,37.838,55.345
133,SVC,Agreeableness,test throw median,num_streamlines,baseline,t_test,50,accuracy,100.0,100.0,100.0,100.0,50.259,53.061,37.838,55.259
134,SVC,Agreeableness,test throw median,num_streamlines,baseline,t_test,100,accuracy,100.0,100.0,100.0,0.0,50.259,53.061,37.838,44.655
135,SVC,Agreeableness,test throw median,mean_strl,baseline,pearson,2,accuracy,89.898,89.916,88.0,94.023,38.362,40.816,25.641,42.241
136,SVC,Agreeableness,test throw median,mean_strl,baseline,pearson,5,accuracy,66.224,66.387,61.538,78.776,46.638,46.939,40.909,46.293
137,SVC,Agreeableness,test throw median,mean_strl,baseline,pearson,10,accuracy,62.653,67.227,48.0,62.041,41.207,46.939,13.333,41.207
138,SVC,Agreeableness,test throw median,mean_strl,baseline,pearson,50,accuracy,62.653,67.227,48.0,62.041,41.207,46.939,13.333,41.207
139,SVC,Agreeableness,test throw median,mean_strl,baseline,pearson,100,accuracy,62.653,67.227,48.0,62.041,41.207,46.939,13.333,41.207
140,SVC,Agreeableness,test throw median,mean_FA,baseline,t_test,2,accuracy,100.0,100.0,100.0,0.0,50.0,59.184,0.0,49.138
141,SVC,Agreeableness,test throw median,mean_FA,baseline,t_test,5,accuracy,100.0,100.0,100.0,0.0,50.0,59.184,0.0,49.138
142,SVC,Agreeableness,test throw median,mean_FA,baseline,t_test,10,accuracy,100.0,100.0,100.0,0.0,50.0,59.184,0.0,49.138
143,SVC,Agreeableness,test throw median,mean_FA,baseline,t_test,50,accuracy,100.0,100.0,100.0,0.0,50.0,59.184,0.0,49.138
144,SVC,Agreeableness,test throw median,mean_FA,baseline,t_test,100,accuracy,100.0,100.0,100.0,0.0,50.0,59.184,0.0,49.138
145,SVC,Agreeableness,test throw median,mean_strl,baseline,t_test,2,accuracy,100.0,100.0,100.0,0.0,50.0,59.184,0.0,49.138
146,SVC,Agreeableness,test throw median,mean_strl,baseline,t_test,5,accuracy,100.0,100.0,100.0,0.0,50.0,59.184,0.0,49.138
147,SVC,Agreeableness,test throw median,mean_strl,baseline,t_test,10,accuracy,100.0,100.0,100.0,0.0,50.0,59.184,0.0,49.138
148,SVC,Agreeableness,test throw median,mean_strl,baseline,t_test,50,accuracy,100.0,100.0,100.0,0.0,50.0,59.184,0.0,49.138
149,SVC,Agreeableness,test throw median,mean_strl,baseline,t_test,100,accuracy,100.0,100.0,100.0,0.0,50.0,59.184,0.0,49.138
150,SVC,Conscientiousness,test throw median,num_streamlines,baseline,pearson,2,accuracy,92.308,92.727,91.667,99.768,52.857,57.143,36.364,52.245
151,SVC,Conscientiousness,test throw median,num_streamlines,baseline,pearson,5,accuracy,67.507,69.091,54.054,70.391,47.143,61.224,17.391,30.408
152,SVC,Conscientiousness,test throw median,num_streamlines,baseline,pearson,10,accuracy,59.715,61.818,34.375,59.715,50.714,69.388,11.765,50.918
153,SVC,Conscientiousness,test throw median,num_streamlines,baseline,pearson,50,accuracy,59.715,61.818,34.375,59.715,50.714,69.388,11.765,50.918
154,SVC,Conscientiousness,test throw median,num_streamlines,baseline,pearson,100,accuracy,59.715,61.818,34.375,59.715,50.714,69.388,11.765,50.918
155,SVC,Conscientiousness,test throw median,mean_strl,baseline,pearson,2,accuracy,96.154,96.364,96.0,99.901,48.571,57.143,27.586,49.388
156,SVC,Conscientiousness,test throw median,mean_strl,baseline,pearson,5,accuracy,73.044,72.727,73.214,81.996,40.0,44.898,22.857,45.102
157,SVC,Conscientiousness,test throw median,mean_strl,baseline,pearson,10,accuracy,62.898,64.545,46.575,63.229,52.143,65.306,26.087,52.551
158,SVC,Conscientiousness,test throw median,mean_strl,baseline,pearson,50,accuracy,62.898,64.545,46.575,63.229,52.143,65.306,26.087,52.551
159,SVC,Conscientiousness,test throw median,mean_strl,baseline,pearson,100,accuracy,62.898,64.545,46.575,63.229,52.143,65.306,26.087,52.551
160,SVC,Conscientiousness,test throw median,mean_FA,baseline,t_test,2,accuracy,100.0,100.0,100.0,0.0,55.714,73.469,23.529,54.082
161,SVC,Conscientiousness,test throw median,mean_FA,baseline,t_test,5,accuracy,100.0,100.0,100.0,0.0,55.714,73.469,23.529,54.082
162,SVC,Conscientiousness,test throw median,mean_FA,baseline,t_test,10,accuracy,100.0,100.0,100.0,0.0,55.714,73.469,23.529,53.98
163,SVC,Conscientiousness,test throw median,mean_FA,baseline,t_test,50,accuracy,100.0,100.0,100.0,0.0,55.714,73.469,23.529,54.082
164,SVC,Conscientiousness,test throw median,mean_FA,baseline,t_test,100,accuracy,100.0,100.0,100.0,0.0,55.714,73.469,23.529,54.082
165,SVC,Conscientiousness,test throw median,mean_FA,baseline,pearson,2,accuracy,96.154,96.364,96.0,99.901,48.571,57.143,27.586,49.388
166,SVC,Conscientiousness,test throw median,mean_FA,baseline,pearson,5,accuracy,73.044,72.727,73.214,81.996,40.0,44.898,22.857,45.102
167,SVC,Conscientiousness,test throw median,mean_FA,baseline,pearson,10,accuracy,62.898,64.545,46.575,63.229,52.143,65.306,26.087,52.551
168,SVC,Conscientiousness,test throw median,mean_FA,baseline,pearson,50,accuracy,62.898,64.545,46.575,63.229,52.143,65.306,26.087,52.551
169,SVC,Conscientiousness,test throw median,mean_FA,baseline,pearson,100,accuracy,62.898,64.545,46.575,63.229,52.143,65.306,26.087,52.551
170,SVC,Conscientiousness,test throw median,num_streamlines,baseline,t_test,2,accuracy,89.058,89.091,88.462,16.114,40.0,44.898,22.857,62.041
171,SVC,Conscientiousness,test throw median,num_streamlines,baseline,t_test,5,accuracy,89.058,89.091,88.462,83.919,40.0,44.898,22.857,38.265
172,SVC,Conscientiousness,test throw median,num_streamlines,baseline,t_test,10,accuracy,89.058,89.091,88.462,16.214,40.0,44.898,22.857,61.837
