feature,mean_importance
646,-0.0040489564985074274
1130,-0.004044625072615204
1328,-0.004042458349440415
1713,-0.0040410373976110135
434,-0.004022787089826618
1914,-0.003991943203636117
647,-0.003971502791608605
348,-0.003964706123132711
504,-0.003941143000170344
878,-0.003934348779604991
1348,-0.003917006622679331
1760,-0.003913362300877266
379,-0.003904859983014486
961,-0.0039040071460496595
1013,-0.0038922402293378065
639,-0.0038514685768058056
864,-0.003789235559536941
318,-0.003768575166009347
2181,-0.0037493627166309993
925,-0.003747781298018937
285,-0.0037469853500532225
1012,-0.0037221290328731003
433,-0.003720175218185062
73,-0.0037142063621520283
1187,-0.0037074979639363016
1802,-0.0037032567369605475
1444,-0.003693832987214085
374,-0.0036931547742020234
1344,-0.0036806170327662534
933,-0.0036803208380415953
1293,-0.003675083465700624
94,-0.003669568195733319
1136,-0.003661029436266494
458,-0.0036529109725988995
538,-0.003645034857140006
760,-0.003635195139598846
1119,-0.0036279815190021656
277,-0.0036241331997906466
6,-0.0036189889325509927
71,-0.0036001713666518054
152,-0.003599670357959761
798,-0.0035914488217244412
477,-0.003569418098769228
1489,-0.003558220774991394
1274,-0.0035447233958009416
292,-0.0035112651587952738
1402,-0.0035104111068837707
89,-0.0034705064719834145
1229,-0.003448664001349977
1432,-0.003432248776110569
1022,-0.003432158395226148
811,-0.0034296548166402817
307,-0.003428594848925126
928,-0.0034209333222627427
1710,-0.0034000784115753024
963,-0.0033992765018042714
1230,-0.003371849268408367
153,-0.0033678667730330236
372,-0.0033678425142033676
1395,-0.0033664089854754664
881,-0.003366015607199335
279,-0.0033635990754376623
568,-0.003350087750139075
1644,-0.003346629812058133
2703,-0.003315615014566076
1815,-0.0033141002829663703
1708,-0.0033138649623576377
238,-0.0032956539407221984
659,-0.0032951913407401447
217,-0.0032767110524666966
571,-0.003255222549993464
1326,-0.0032480378552514288
552,-0.0032479457038425696
2122,-0.003241289740827424
54,-0.0032328694346852593
517,-0.0032254935384856244
1754,-0.003200841314052072
381,-0.0031818219882670195
958,-0.0031783745968735123
226,-0.0031580878127348555
1434,-0.0031571200647407148
269,-0.0031515559631373423
135,-0.003150972212050984
15,-0.0031466277797050244
589,-0.00313126973255331
300,-0.003125724016220399
765,-0.003121332793166909
1707,-0.0031173150222485457
281,-0.0031096984044283182
917,-0.0030783002552369878
327,-0.0030758383164499305
1193,-0.0030433876767841815
430,-0.003033943715762577
1752,-0.003032903148364907
1228,-0.0030233609357211756
378,-0.0030178765152806264
74,-0.00300053489338441
969,-0.002988916901379213
291,-0.002986017660696838
916,-0.002981986314306573
249,-0.0029714603694468876
1010,-0.002959725240494082
72,-0.0029491710741047505
1135,-0.002918970549858546
309,-0.0029086674972377048
550,-0.002907919737215314
299,-0.0029036551112217703
60,-0.0028973683815434635
255,-0.002894278684954177
872,-0.0028905958829125835
1765,-0.0028855998385727945
404,-0.002884361256686496
371,-0.0028730055669182963
1918,-0.0028682521832275485
234,-0.00285904272830515
21,-0.002834916383024577
869,-0.002834409916763736
383,-0.002816221051045087
919,-0.002797501864202001
137,-0.00279128358224674
1596,-0.0027910003574007636
1431,-0.0027891927457825982
